product_category,product_type,material_cost,production_time_days,region,origin_state,demand_index,market_trend,season,actual_selling_price,material_type
Natural / Eco-friendly Crafts,Jute Product,58.22,2,Jaipur,Rajasthan,0.403,0.0528,Normal,1620.55,Jute
Handmade Home Décor,Handmade Clock,565.18,5,Moradabad,Uttar Pradesh,0.652,0.0659,Normal,2260.53,Wood
Handmade Jewellery,Beaded Jewellery,253.67,2,Channapatna,Karnataka,0.402,-0.0156,Winter,1551.23,Seed Beads
Handmade Bags & Accessories,Handmade Belt,215.54,7,Narsapur,Andhra Pradesh,0.811,0.2416,Normal,3476.06,Cotton
Metal Crafts,Jewellery,1325.37,5,Srikalahasti,Andhra Pradesh,0.806,0.0891,Normal,3628.13,Brass
Handloom & Textiles,Towel,266.57,9,Saharanpur,Uttar Pradesh,0.663,0.0548,Winter,3636.91,Cotton
Handloom & Textiles,Bedsheet,548.03,15,Srikalahasti,Andhra Pradesh,0.818,0.0736,Summer,3088.92,Cotton
Ceramics,Ceramic Jewellery,274.75,2,Srinagar,Jammu and Kashmir,0.657,0.0637,Winter,1815.18,Porcelain
Natural / Eco-friendly Crafts,Natural-fibre Basket,30.0,3,Srinagar,Jammu and Kashmir,0.862,0.0204,Normal,1753.28,Coir
Ceramics,Ceramic Jewellery,339.73,4,Kashmir,Jammu and Kashmir,0.622,0.0233,Wedding,2193.19,Porcelain
Metal Crafts,Brassware,1183.45,8,Srinagar,Jammu and Kashmir,0.527,-0.0915,Normal,6745.69,Brass
Woodcraft,Tray,359.15,5,Bastar,Chhattisgarh,0.734,-0.0087,Festival,2814.09,Wood
Embroidery & Needlecraft,Table Runner,666.52,8,Saharanpur,Uttar Pradesh,0.283,0.1828,Wedding,3085.28,Linen
Embroidery & Needlecraft,Embroidered Bag,687.09,7,Saharanpur,Uttar Pradesh,0.684,0.0845,Summer,3196.52,Silk
"Bamboo, Cane & Natural Fibre",Mat,184.52,2,Channapatna,Karnataka,0.552,0.1258,Normal,2138.26,Jute
Handmade Home Décor,Lamp,309.5,3,Raghurajpur,Odisha,0.88,-0.0215,Normal,3564.16,Bamboo
Handmade Bags & Accessories,Backpack,221.63,4,Madhubani,Bihar,0.664,0.0706,Normal,1679.06,Cotton
Natural / Eco-friendly Crafts,Eco-friendly Packaging,143.34,3,Etikoppaka,Andhra Pradesh,0.491,-0.0667,Normal,1681.84,Palm Leaf
Pottery & Terracotta,Terracotta Figurine,138.92,3,Bhubaneswar,Odisha,0.836,0.0412,Monsoon,1558.95,Clay
Metal Crafts,Metal Sculpture,1138.81,4,Etikoppaka,Andhra Pradesh,0.87,-0.0436,Normal,5623.93,Brass
Embroidery & Needlecraft,Cushion Cover,191.88,5,Madhubani,Bihar,0.589,0.0826,Summer,1623.53,Cotton
Paintings & Art,Tanjore Painting,342.61,9,Jaipur,Rajasthan,0.376,0.0562,Normal,1825.49,Acrylic
Handmade Toys,Educational Toy,122.63,3,Bastar,Chhattisgarh,0.621,0.0236,Festival,1257.48,Cotton
Handmade Bags & Accessories,Pouch,236.71,3,Kolkata,West Bengal,0.561,0.0506,Normal,2339.83,Jute
Handmade Toys,Traditional Toy,169.41,3,Moradabad,Uttar Pradesh,0.679,0.1051,Normal,2201.49,Cloth
Metal Crafts,Brassware,1151.97,7,Jaipur,Rajasthan,0.764,-0.0846,Normal,3574.43,Brass
Handmade Toys,Wooden Toy,388.49,2,Thanjavur,Tamil Nadu,0.618,0.0232,Wedding,1742.46,Wood
Woodcraft,Decorative Panel,415.54,10,Thanjavur,Tamil Nadu,0.834,0.1702,Normal,3276.48,Wood
"Bamboo, Cane & Natural Fibre",Basket,253.79,4,Kondapalli,Andhra Pradesh,0.663,-0.0909,Normal,2085.47,Palm Leaf
Embroidery & Needlecraft,Wall Hanging,223.0,2,Khurja,Uttar Pradesh,0.697,0.0683,Normal,2530.78,Cotton
Natural / Eco-friendly Crafts,Eco-friendly Packaging,284.18,3,Raghurajpur,Odisha,0.735,-0.062,Festival,1939.29,Jute
Handloom & Textiles,Dress Material,374.78,8,Narsapur,Andhra Pradesh,0.741,0.0994,Normal,3096.0,Linen
Woodcraft,Figurine,282.69,8,Channapatna,Karnataka,0.783,-0.1669,Summer,3468.26,Wood
Handmade Toys,Wooden Toy,134.7,5,Moradabad,Uttar Pradesh,0.499,-0.0987,Normal,1694.26,Wood
Metal Crafts,Jewellery,2194.59,1,Raghurajpur,Odisha,0.666,0.0987,Winter,4232.5,Silver
Natural / Eco-friendly Crafts,Jute Product,43.99,3,Madhubani,Bihar,0.842,0.0717,Normal,1700.64,Jute
Paintings & Art,Gond Art,297.11,4,Bhubaneswar,Odisha,0.393,-0.1672,Normal,2383.18,Natural Pigment
Handmade Home Décor,Table Décor,172.87,3,Bastar,Chhattisgarh,0.423,0.1129,Summer,1582.09,Clay
Woodcraft,Tray,234.87,10,Moradabad,Uttar Pradesh,0.419,0.2001,Normal,2124.23,Wood
"Bamboo, Cane & Natural Fibre",Furniture,183.56,5,Assam,Assam,0.565,0.0427,Normal,1652.25,Cane
"Bamboo, Cane & Natural Fibre",Storage Box,148.24,5,Saharanpur,Uttar Pradesh,0.435,0.2644,Festival,2382.52,Palm Leaf
Handmade Bags & Accessories,Wallet,216.4,5,Raghurajpur,Odisha,0.476,0.0087,Summer,1988.03,Cotton
Paintings & Art,Madhubani Painting,218.26,4,Bhubaneswar,Odisha,0.463,0.1502,Normal,1364.7,Acrylic
Embroidery & Needlecraft,Embroidered Clothing,531.37,4,Kashmir,Jammu and Kashmir,0.614,-0.0432,Normal,2437.52,Linen
Handloom & Textiles,Scarf,544.83,7,Bastar,Chhattisgarh,0.916,-0.0331,Normal,3114.51,Silk
Handmade Jewellery,Beaded Jewellery,450.64,4,Raghurajpur,Odisha,0.654,0.12,Normal,1520.03,Wood
Handmade Jewellery,Wooden Jewellery,175.71,2,Khurja,Uttar Pradesh,0.418,0.0165,Winter,1483.68,Wood
Handmade Home Décor,Showpiece,342.3,7,Bhubaneswar,Odisha,0.433,0.1625,Normal,2297.08,Clay
Handmade Bags & Accessories,Scarf,212.72,4,Saharanpur,Uttar Pradesh,0.268,0.073,Festival,1307.35,Cotton
"Bamboo, Cane & Natural Fibre",Bag,61.62,4,Khurja,Uttar Pradesh,0.401,0.051,Winter,1955.88,Jute
Pottery & Terracotta,Diya,30.0,2,Channapatna,Karnataka,0.896,0.1396,Normal,1837.65,Clay
Ceramics,Tableware,228.11,3,Channapatna,Karnataka,0.766,0.0213,Festival,1392.85,Stoneware
Handmade Home Décor,Decorative Box,335.51,3,Bastar,Chhattisgarh,0.551,0.0067,Normal,3208.42,Bamboo
Woodcraft,Figurine,212.14,1,Srinagar,Jammu and Kashmir,0.656,-0.1906,Monsoon,2289.92,Wood
Embroidery & Needlecraft,Patchwork Product,451.17,4,Srikalahasti,Andhra Pradesh,0.797,0.0532,Monsoon,3636.89,Wool
Handmade Bags & Accessories,Pouch,142.49,5,Assam,Assam,0.785,0.0528,Normal,1582.24,Jute
"Bamboo, Cane & Natural Fibre",Bag,108.8,4,Kutch,Gujarat,0.439,0.1248,Normal,1511.27,Bamboo
Handmade Jewellery,Wooden Jewellery,546.1,2,Moradabad,Uttar Pradesh,0.893,0.0301,Monsoon,4051.65,Wood
Handloom & Textiles,Dupatta,365.44,4,Assam,Assam,0.725,-0.1034,Festival,2859.36,Wool
Natural / Eco-friendly Crafts,Jute Product,215.73,3,Jaipur,Rajasthan,0.487,0.0851,Monsoon,2196.18,Jute
Handmade Bags & Accessories,Accessories,326.63,3,Moradabad,Uttar Pradesh,0.749,0.1,Normal,3053.25,Leather
Handmade Bags & Accessories,Scarf,523.92,4,Kutch,Gujarat,0.529,-0.0014,Festival,2730.17,Linen
Woodcraft,Tray,535.9,8,Etikoppaka,Andhra Pradesh,0.473,0.1031,Normal,2858.27,Wood
Handmade Jewellery,Metal Jewellery,733.77,5,Channapatna,Karnataka,0.785,-0.2,Winter,3377.35,Brass
Metal Crafts,Decorative Item,1044.39,3,Etikoppaka,Andhra Pradesh,0.501,0.0867,Normal,5936.37,Brass
Metal Crafts,Bell-metal Product,938.93,6,Assam,Assam,0.48,0.0245,Wedding,5206.67,Bell Metal
Handmade Toys,Stuffed Toy,243.05,4,Saharanpur,Uttar Pradesh,0.389,0.0707,Wedding,2463.92,Wool
Natural / Eco-friendly Crafts,Banana-fibre Product,109.33,3,Jaipur,Rajasthan,0.5,0.0401,Festival,1898.76,Banana Fibre
Metal Crafts,Utensil,1108.38,6,Kutch,Gujarat,0.589,0.1103,Wedding,6970.66,Bell Metal
Woodcraft,Wall Décor,448.06,13,Kutch,Gujarat,0.593,0.0254,Normal,2929.66,Wood
Metal Crafts,Jewellery,1495.02,8,Srinagar,Jammu and Kashmir,0.59,0.1441,Summer,5333.99,Silver
Handmade Home Décor,Wall Hanging,520.29,4,Bastar,Chhattisgarh,0.475,0.1377,Festival,3113.54,Wood
Leather & Traditional Craft,Wallet,616.74,6,Bastar,Chhattisgarh,0.707,0.2701,Festival,3457.37,Leather
Metal Crafts,Utensil,1193.3,7,Kutch,Gujarat,0.633,0.0446,Normal,7543.96,Brass
Ceramics,Plate,166.55,1,Kashmir,Jammu and Kashmir,0.396,0.3,Summer,2150.35,Ceramic
Embroidery & Needlecraft,Patchwork Product,342.68,7,Kolkata,West Bengal,0.818,0.0251,Festival,3386.82,Cotton
Leather & Traditional Craft,Traditional Leather Craft,1010.7,4,Kashmir,Jammu and Kashmir,0.662,0.1517,Normal,3138.6,Leather
Embroidery & Needlecraft,Cushion Cover,227.04,3,Kondapalli,Andhra Pradesh,0.578,-0.0537,Winter,1476.25,Cotton
Metal Crafts,Brassware,970.65,7,Kutch,Gujarat,0.779,0.0334,Wedding,7338.8,Brass
Pottery & Terracotta,Clay Pot,81.12,2,Khurja,Uttar Pradesh,0.581,0.0556,Monsoon,1240.61,Terracotta
Metal Crafts,Utensil,1020.87,1,Kutch,Gujarat,0.572,0.1417,Winter,4972.13,Copper
Woodcraft,Wall Décor,655.81,6,Moradabad,Uttar Pradesh,0.456,-0.0776,Normal,3658.36,Wood
Ceramics,Decorative Piece,357.61,2,Kolkata,West Bengal,0.822,-0.1217,Normal,1890.92,Ceramic
Paintings & Art,Handmade Wall Art,340.78,6,Kolkata,West Bengal,0.566,0.107,Normal,1844.41,Canvas
Embroidery & Needlecraft,Table Runner,852.87,6,Channapatna,Karnataka,0.638,0.2264,Normal,4557.3,Silk
Metal Crafts,Brassware,1346.35,5,Bastar,Chhattisgarh,0.722,-0.0292,Normal,4961.23,Brass
Pottery & Terracotta,Decorative Pot,30.0,2,Etikoppaka,Andhra Pradesh,0.844,0.1692,Monsoon,1792.9,Terracotta
Metal Crafts,Copperware,1305.43,4,Bhubaneswar,Odisha,0.635,0.0005,Summer,5520.26,Copper
Leather & Traditional Craft,Footwear,892.3,5,Kondapalli,Andhra Pradesh,0.534,0.2015,Normal,3816.36,Leather
Handmade Bags & Accessories,Pouch,296.83,3,Etikoppaka,Andhra Pradesh,0.819,-0.0153,Normal,2046.6,Leather
Natural / Eco-friendly Crafts,Banana-fibre Product,212.26,2,Khurja,Uttar Pradesh,0.709,0.0396,Winter,2471.67,Banana Fibre
Paintings & Art,Phad Painting,234.29,10,Khurja,Uttar Pradesh,0.671,0.1958,Festival,2186.61,Watercolour
Pottery & Terracotta,Sculpture,98.19,3,Raghurajpur,Odisha,0.665,0.1242,Normal,1121.95,Terracotta
Pottery & Terracotta,Decorative Pot,30.0,3,Thanjavur,Tamil Nadu,0.71,-0.1376,Winter,1211.59,Terracotta
Handmade Bags & Accessories,Accessories,30.0,5,Assam,Assam,0.485,0.0864,Normal,2306.79,Jute
Natural / Eco-friendly Crafts,Banana-fibre Product,90.04,4,Thanjavur,Tamil Nadu,0.809,0.1371,Festival,1599.87,Banana Fibre
Handmade Jewellery,Lac Jewellery,214.52,1,Channapatna,Karnataka,0.668,0.0922,Wedding,3668.13,Lac
Woodcraft,Box,443.56,9,Moradabad,Uttar Pradesh,0.461,0.1324,Summer,2058.09,Wood
Handmade Jewellery,Necklace,1379.9,5,Narsapur,Andhra Pradesh,0.749,0.0271,Normal,2889.86,Silver
Paintings & Art,Pattachitra,126.65,7,Kondapalli,Andhra Pradesh,0.642,0.1246,Winter,3002.09,Natural Pigment
Pottery & Terracotta,Clay Lamp,110.37,3,Kutch,Gujarat,0.978,0.0352,Normal,1809.77,Terracotta
Handmade Home Décor,Table Décor,308.43,2,Kolkata,West Bengal,0.712,0.2176,Normal,2728.15,Wood
Embroidery & Needlecraft,Patchwork Product,466.78,6,Pochampally,Telangana,0.481,0.1087,Festival,2244.08,Wool
Ceramics,Ceramic Jewellery,353.27,4,Kashmir,Jammu and Kashmir,0.397,0.0525,Monsoon,1891.2,Porcelain
Metal Crafts,Lamp,1454.13,3,Channapatna,Karnataka,0.63,-0.0336,Normal,5673.87,Brass
Handmade Toys,Wooden Toy,30.0,2,Thanjavur,Tamil Nadu,0.588,-0.0752,Normal,1452.79,Wood
Handmade Bags & Accessories,Accessories,208.81,3,Raghurajpur,Odisha,0.615,0.182,Wedding,3153.8,Cotton
"Bamboo, Cane & Natural Fibre",Lampshade,150.82,5,Kashmir,Jammu and Kashmir,0.398,-0.0658,Festival,1063.15,Cane
"Bamboo, Cane & Natural Fibre",Mat,30.0,3,Channapatna,Karnataka,0.672,0.0905,Festival,2422.88,Cane
Pottery & Terracotta,Kitchenware,30.0,3,Channapatna,Karnataka,0.752,-0.006,Wedding,990.97,Terracotta
Ceramics,Ceramic Jewellery,171.98,3,Saharanpur,Uttar Pradesh,0.393,0.0309,Normal,1146.44,Porcelain
Pottery & Terracotta,Planter,123.93,3,Jaipur,Rajasthan,0.901,-0.0143,Festival,1575.36,Terracotta
Handmade Bags & Accessories,Accessories,441.54,3,Assam,Assam,0.426,-0.1421,Festival,2273.19,Leather
Embroidery & Needlecraft,Wall Hanging,370.26,12,Etikoppaka,Andhra Pradesh,0.82,0.0265,Normal,2838.49,Wool
Leather & Traditional Craft,Belt,644.26,1,Assam,Assam,0.877,-0.0024,Normal,4190.54,Leather
Natural / Eco-friendly Crafts,Natural-fibre Basket,132.73,4,Saharanpur,Uttar Pradesh,0.715,-0.0346,Normal,2221.19,Jute
Pottery & Terracotta,Clay Pot,83.39,3,Bhubaneswar,Odisha,0.854,0.0526,Festival,2288.39,Terracotta
Handmade Jewellery,Wooden Jewellery,521.15,3,Srinagar,Jammu and Kashmir,0.805,0.1348,Normal,2502.92,Wood
Embroidery & Needlecraft,Patchwork Product,508.3,5,Assam,Assam,0.65,-0.0461,Monsoon,2152.2,Linen
Paintings & Art,Kalamkari,328.48,10,Channapatna,Karnataka,0.71,0.0273,Normal,1875.25,Natural Dye
Handmade Home Décor,Mirror,369.97,1,Srinagar,Jammu and Kashmir,0.539,0.1558,Summer,2457.86,Metal
Paintings & Art,Kalamkari,144.17,9,Khurja,Uttar Pradesh,0.54,0.1476,Monsoon,2052.72,Cotton
Pottery & Terracotta,Terracotta Jewellery,30.0,3,Saharanpur,Uttar Pradesh,0.693,0.1553,Normal,1546.73,Clay
Leather & Traditional Craft,Wallet,746.59,4,Kondapalli,Andhra Pradesh,0.744,0.0616,Summer,3408.7,Leather
Embroidery & Needlecraft,Table Runner,488.62,5,Khurja,Uttar Pradesh,0.735,-0.0938,Winter,2428.35,Linen
Natural / Eco-friendly Crafts,Coir Product,150.31,4,Kutch,Gujarat,0.786,0.0016,Festival,1498.41,Coir
Leather & Traditional Craft,Decorative Leather Product,946.92,5,Kondapalli,Andhra Pradesh,0.598,0.0021,Normal,3895.26,Leather
Handloom & Textiles,Durrie,190.86,9,Kondapalli,Andhra Pradesh,0.905,0.2213,Normal,3485.42,Cotton
Ceramics,Cup,246.72,1,Etikoppaka,Andhra Pradesh,0.606,0.0024,Normal,1467.67,Stoneware
Leather & Traditional Craft,Wallet,1136.48,4,Moradabad,Uttar Pradesh,0.843,0.0566,Wedding,6401.15,Leather
Handmade Jewellery,Lac Jewellery,499.67,3,Narsapur,Andhra Pradesh,0.598,0.015,Normal,3171.44,Lac
Handmade Toys,Handmade Game,167.28,2,Assam,Assam,0.698,-0.0091,Festival,1659.99,Paper
Leather & Traditional Craft,Wallet,603.18,10,Assam,Assam,0.752,-0.0451,Normal,3072.32,Leather
Natural / Eco-friendly Crafts,Coir Product,93.65,6,Kutch,Gujarat,0.425,0.0767,Festival,1510.72,Coir
Handmade Jewellery,Bangles,30.0,4,Moradabad,Uttar Pradesh,0.355,-0.0933,Normal,913.15,Glass
Paintings & Art,Miniature Painting,76.72,5,Assam,Assam,0.622,0.0101,Festival,1726.23,Watercolour
Handmade Jewellery,Metal Jewellery,694.95,1,Jaipur,Rajasthan,0.892,0.0494,Normal,3786.26,Copper
Embroidery & Needlecraft,Embroidered Clothing,190.68,6,Moradabad,Uttar Pradesh,0.628,0.1106,Normal,3103.42,Linen
Handmade Home Décor,Handmade Clock,152.94,4,Kolkata,West Bengal,0.666,0.0267,Monsoon,1713.57,Bamboo
Leather & Traditional Craft,Belt,518.93,7,Moradabad,Uttar Pradesh,0.466,0.0154,Normal,2417.6,Leather
Metal Crafts,Bell-metal Product,1118.34,7,Kashmir,Jammu and Kashmir,0.562,0.109,Normal,3741.88,Bell Metal
Handloom & Textiles,Rug,361.72,7,Moradabad,Uttar Pradesh,0.473,-0.0055,Festival,3164.23,Jute
Handloom & Textiles,Towel,125.0,13,Narsapur,Andhra Pradesh,0.763,-0.1307,Wedding,3299.06,Cotton
Handmade Jewellery,Lac Jewellery,515.42,4,Etikoppaka,Andhra Pradesh,0.871,-0.0023,Festival,3123.93,Lac
Paintings & Art,Handmade Wall Art,366.03,9,Narsapur,Andhra Pradesh,0.788,0.0633,Summer,3215.28,Canvas
Pottery & Terracotta,Terracotta Jewellery,144.25,1,Khurja,Uttar Pradesh,0.128,-0.082,Normal,826.17,Clay
Handmade Home Décor,Mirror,254.06,2,Thanjavur,Tamil Nadu,0.408,0.0137,Summer,2241.06,Metal
Natural / Eco-friendly Crafts,Handmade Paper Product,113.68,2,Kashmir,Jammu and Kashmir,0.526,-0.1462,Normal,752.49,Handmade Paper
Woodcraft,Wall Décor,881.69,4,Kutch,Gujarat,0.874,0.0694,Winter,3582.97,Wood
Ceramics,Tableware,137.31,3,Moradabad,Uttar Pradesh,0.715,0.0715,Normal,1762.2,Ceramic
Handmade Home Décor,Showpiece,413.93,4,Jaipur,Rajasthan,0.791,0.1918,Festival,2799.14,Clay
Handloom & Textiles,Dress Material,437.67,5,Thanjavur,Tamil Nadu,0.767,0.0852,Summer,2169.09,Linen
Ceramics,Decorative Piece,194.63,3,Jaipur,Rajasthan,0.644,0.0891,Normal,1735.33,Stoneware
Pottery & Terracotta,Clay Pot,128.02,4,Raghurajpur,Odisha,0.385,0.0643,Festival,1081.68,Terracotta
Handloom & Textiles,Handwoven Bag,493.18,5,Thanjavur,Tamil Nadu,0.832,-0.1842,Normal,3329.65,Linen
Ceramics,Mug,209.23,2,Kutch,Gujarat,0.581,0.0765,Normal,1774.49,Stoneware
Handmade Jewellery,Tribal Jewellery,426.38,2,Madhubani,Bihar,0.827,-0.0602,Normal,2256.63,Beads
"Bamboo, Cane & Natural Fibre",Bottle/Container,160.78,1,Narsapur,Andhra Pradesh,0.289,0.0842,Festival,1154.51,Cane
"Bamboo, Cane & Natural Fibre",Basket,161.06,3,Narsapur,Andhra Pradesh,0.498,-0.0016,Normal,1436.74,Bamboo
Natural / Eco-friendly Crafts,Palm-leaf Product,134.02,4,Kutch,Gujarat,0.355,0.0414,Festival,1367.05,Palm Leaf
"Bamboo, Cane & Natural Fibre",Basket,192.87,4,Saharanpur,Uttar Pradesh,0.528,-0.1127,Summer,1693.67,Palm Leaf
Leather & Traditional Craft,Wallet,738.79,7,Kashmir,Jammu and Kashmir,0.738,0.069,Normal,2887.69,Leather
Handmade Jewellery,Wooden Jewellery,451.27,3,Bhubaneswar,Odisha,0.542,0.054,Normal,2122.21,Wood
Woodcraft,Wooden Toy,444.07,15,Channapatna,Karnataka,0.666,0.016,Summer,4500.91,Wood
Metal Crafts,Lamp,1501.48,7,Channapatna,Karnataka,0.309,-0.0148,Normal,6504.34,Copper
Handloom & Textiles,Dupatta,572.72,8,Thanjavur,Tamil Nadu,0.501,0.0799,Festival,3594.45,Linen
Handmade Jewellery,Terracotta Jewellery,348.79,5,Saharanpur,Uttar Pradesh,0.789,-0.0266,Festival,2555.43,Terracotta
Paintings & Art,Miniature Painting,301.01,7,Srikalahasti,Andhra Pradesh,0.437,-0.1176,Summer,2576.08,Handmade Paper
Ceramics,Vase,221.9,5,Srikalahasti,Andhra Pradesh,0.827,0.0656,Normal,1764.69,Ceramic
"Bamboo, Cane & Natural Fibre",Lampshade,195.56,3,Srinagar,Jammu and Kashmir,0.501,0.0089,Winter,1066.57,Cane
"Bamboo, Cane & Natural Fibre",Household Product,313.23,5,Thanjavur,Tamil Nadu,0.531,-0.0084,Winter,2050.72,Jute
Natural / Eco-friendly Crafts,Banana-fibre Product,66.49,2,Kondapalli,Andhra Pradesh,0.582,0.075,Normal,907.77,Banana Fibre
Handmade Toys,Puppet,214.96,2,Srinagar,Jammu and Kashmir,0.67,-0.0225,Festival,1717.86,Wood
Handmade Toys,Wooden Toy,213.85,2,Khurja,Uttar Pradesh,0.752,-0.1643,Normal,1508.65,Wood
Embroidery & Needlecraft,Wall Hanging,189.09,8,Jaipur,Rajasthan,0.573,0.121,Normal,2430.13,Wool
Handmade Bags & Accessories,Basket,283.78,2,Etikoppaka,Andhra Pradesh,0.98,0.2198,Festival,3201.22,Jute
Handloom & Textiles,Shawl,740.63,9,Kutch,Gujarat,0.396,-0.0922,Normal,2554.41,Silk
Leather & Traditional Craft,Decorative Leather Product,956.79,8,Jaipur,Rajasthan,0.869,0.0059,Winter,3648.63,Leather
Embroidery & Needlecraft,Cushion Cover,330.28,11,Kondapalli,Andhra Pradesh,0.654,0.1732,Winter,3508.84,Cotton
Embroidery & Needlecraft,Embroidered Bag,622.59,12,Bastar,Chhattisgarh,0.53,-0.1645,Normal,4473.12,Silk
Handmade Bags & Accessories,Tote Bag,53.27,2,Kashmir,Jammu and Kashmir,0.73,0.2991,Normal,2606.63,Jute
Leather & Traditional Craft,Belt,755.24,1,Kutch,Gujarat,0.736,0.1852,Festival,4760.4,Leather
Embroidery & Needlecraft,Table Runner,377.76,4,Raghurajpur,Odisha,0.492,0.1913,Summer,2527.64,Silk
Metal Crafts,Jewellery,1062.3,9,Kutch,Gujarat,0.708,0.0397,Normal,5258.24,Copper
Paintings & Art,Warli Painting,237.61,6,Khurja,Uttar Pradesh,0.826,0.1116,Summer,2825.69,Natural Pigment
Handmade Toys,Stuffed Toy,321.95,1,Kashmir,Jammu and Kashmir,0.567,0.0102,Normal,1946.68,Wool
Embroidery & Needlecraft,Cushion Cover,370.87,7,Assam,Assam,0.489,-0.1635,Wedding,2088.99,Linen
Embroidery & Needlecraft,Embroidered Bag,501.94,9,Pochampally,Telangana,0.46,-0.1175,Festival,2644.57,Cotton
Embroidery & Needlecraft,Quilt,254.86,12,Madhubani,Bihar,0.841,-0.0416,Normal,3097.46,Cotton
Pottery & Terracotta,Terracotta Jewellery,109.59,2,Narsapur,Andhra Pradesh,0.72,-0.0374,Normal,2075.46,Terracotta
Handmade Bags & Accessories,Tote Bag,357.89,5,Assam,Assam,0.497,0.0131,Wedding,2350.39,Cotton
Handmade Toys,Handmade Game,125.06,1,Jaipur,Rajasthan,0.721,0.0104,Festival,1570.07,Wood
Paintings & Art,Pattachitra,309.17,7,Bastar,Chhattisgarh,0.847,0.1186,Normal,3109.38,Handmade Paper
Pottery & Terracotta,Diya,75.39,2,Moradabad,Uttar Pradesh,0.466,0.0707,Normal,1448.94,Clay
Woodcraft,Kitchenware,723.9,5,Kutch,Gujarat,0.962,0.1609,Normal,3634.3,Wood
Metal Crafts,Brassware,1640.07,9,Etikoppaka,Andhra Pradesh,0.714,0.2036,Wedding,9837.17,Brass
Handmade Bags & Accessories,Basket,302.89,6,Assam,Assam,0.216,0.0989,Normal,3050.38,Bamboo
Embroidery & Needlecraft,Quilt,466.87,6,Madhubani,Bihar,0.496,0.0631,Wedding,2007.58,Cotton
Handloom & Textiles,Carpet,355.46,10,Raghurajpur,Odisha,0.727,0.0459,Normal,2655.59,Jute
Paintings & Art,Folk Painting,235.31,1,Kondapalli,Andhra Pradesh,0.531,-0.1389,Normal,2755.98,Natural Pigment
Handmade Toys,Handmade Game,263.84,5,Madhubani,Bihar,0.716,-0.1129,Normal,1688.37,Paper
Metal Crafts,Lamp,1335.96,6,Etikoppaka,Andhra Pradesh,0.37,-0.0392,Monsoon,6424.6,Brass
Metal Crafts,Bell-metal Product,1324.92,9,Srikalahasti,Andhra Pradesh,0.688,0.2443,Normal,6003.28,Bell Metal
Handloom & Textiles,Fabric,30.0,9,Narsapur,Andhra Pradesh,0.561,0.0684,Normal,1962.29,Jute
Woodcraft,Wall Décor,245.73,3,Assam,Assam,0.763,-0.0111,Festival,2803.13,Wood
Handloom & Textiles,Carpet,475.27,6,Khurja,Uttar Pradesh,0.68,0.182,Wedding,2904.78,Jute
"Bamboo, Cane & Natural Fibre",Mat,240.12,4,Madhubani,Bihar,0.77,-0.0027,Festival,1886.29,Coir
Woodcraft,Tray,507.74,13,Saharanpur,Uttar Pradesh,0.743,-0.0452,Normal,2945.28,Wood
Natural / Eco-friendly Crafts,Coir Product,143.62,2,Kutch,Gujarat,0.455,-0.013,Normal,1568.12,Coir
Handmade Home Décor,Decorative Box,391.74,4,Channapatna,Karnataka,0.37,0.0937,Normal,2836.15,Wood
